id,Survived,Pclass,Age,Fare,female,male
0,0,3,22.0,7.25,0,1
1,1,1,38.0,71.2833,1,0
2,1,3,26.0,7.925,1,0
3,1,1,35.0,53.1,1,0
4,0,3,35.0,8.05,0,1
5,0,3,29.69911764705882,8.4583,0,1
6,0,1,54.0,51.8625,0,1
7,0,3,2.0,21.075,0,1
8,1,3,27.0,11.1333,1,0
9,1,2,14.0,30.0708,1,0
10,1,3,4.0,16.7,1,0
11,1,1,58.0,26.55,1,0
12,0,3,20.0,8.05,0,1
13,0,3,39.0,31.275,0,1
14,0,3,14.0,7.8542,1,0
15,1,2,55.0,16.0,1,0
16,0,3,2.0,29.125,0,1
17,1,2,29.69911764705882,13.0,0,1
18,0,3,31.0,18.0,1,0
19,1,3,29.69911764705882,7.225,1,0
20,0,2,35.0,26.0,0,1
21,1,2,34.0,13.0,0,1
22,1,3,15.0,8.0292,1,0
23,1,1,28.0,35.5,0,1
24,0,3,8.0,21.075,1,0
25,1,3,38.0,31.3875,1,0
26,0,3,29.69911764705882,7.225,0,1
27,0,1,19.0,263.0,0,1
28,1,3,29.69911764705882,7.8792,1,0
29,0,3,29.69911764705882,7.8958,0,1
30,0,1,40.0,27.7208,0,1
31,1,1,29.69911764705882,146.5208,1,0
32,1,3,29.69911764705882,7.75,1,0
33,0,2,66.0,10.5,0,1
34,0,1,28.0,82.1708,0,1
35,0,1,42.0,52.0,0,1
36,1,3,29.69911764705882,7.2292,0,1
37,0,3,21.0,8.05,0,1
38,0,3,18.0,18.0,1,0
39,1,3,14.0,11.2417,1,0
40,0,3,40.0,9.475,1,0
41,0,2,27.0,21.0,1,0
42,0,3,29.69911764705882,7.8958,0,1
43,1,2,3.0,41.5792,1,0
44,1,3,19.0,7.8792,1,0
45,0,3,29.69911764705882,8.05,0,1
46,0,3,29.69911764705882,15.5,0,1
47,1,3,29.69911764705882,7.75,1,0
48,0,3,29.69911764705882,21.6792,0,1
49,0,3,18.0,17.8,1,0
50,0,3,7.0,39.6875,0,1
51,0,3,21.0,7.8,0,1
52,1,1,49.0,76.7292,1,0
53,1,2,29.0,26.0,1,0
54,0,1,65.0,61.9792,0,1
55,1,1,29.69911764705882,35.5,0,1
56,1,2,21.0,10.5,1,0
57,0,3,28.5,7.2292,0,1
58,1,2,5.0,27.75,1,0
59,0,3,11.0,46.9,0,1
60,0,3,22.0,7.2292,0,1
61,1,1,38.0,80.0,1,0
62,0,1,45.0,83.475,0,1
63,0,3,4.0,27.9,0,1
64,0,1,29.69911764705882,27.7208,0,1
65,1,3,29.69911764705882,15.2458,0,1
66,1,2,29.0,10.5,1,0
67,0,3,19.0,8.1583,0,1
68,1,3,17.0,7.925,1,0
69,0,3,26.0,8.6625,0,1
70,0,2,32.0,10.5,0,1
71,0,3,16.0,46.9,1,0
72,0,2,21.0,73.5,0,1
73,0,3,26.0,14.4542,0,1
74,1,3,32.0,56.4958,0,1
75,0,3,25.0,7.65,0,1
76,0,3,29.69911764705882,7.8958,0,1
77,0,3,29.69911764705882,8.05,0,1
78,1,2,0.83,29.0,0,1
79,1,3,30.0,12.475,1,0
80,0,3,22.0,9.0,0,1
81,1,3,29.0,9.5,0,1
82,1,3,29.69911764705882,7.7875,1,0
83,0,1,28.0,47.1,0,1
84,1,2,17.0,10.5,1,0
85,1,3,33.0,15.85,1,0
86,0,3,16.0,34.375,0,1
87,0,3,29.69911764705882,8.05,0,1
88,1,1,23.0,263.0,1,0
89,0,3,24.0,8.05,0,1
90,0,3,29.0,8.05,0,1
91,0,3,20.0,7.8542,0,1
92,0,1,46.0,61.175,0,1
93,0,3,26.0,20.575,0,1
94,0,3,59.0,7.25,0,1
95,0,3,29.69911764705882,8.05,0,1
96,0,1,71.0,34.6542,0,1
97,1,1,23.0,63.3583,0,1
98,1,2,34.0,23.0,1,0
99,0,2,34.0,26.0,0,1
100,0,3,28.0,7.8958,1,0
101,0,3,29.69911764705882,7.8958,0,1
102,0,1,21.0,77.2875,0,1
103,0,3,33.0,8.6542,0,1
104,0,3,37.0,7.925,0,1
105,0,3,28.0,7.8958,0,1
106,1,3,21.0,7.65,1,0
107,1,3,29.69911764705882,7.775,0,1
108,0,3,38.0,7.8958,0,1
109,1,3,29.69911764705882,24.15,1,0
110,0,1,47.0,52.0,0,1
111,0,3,14.5,14.4542,1,0
112,0,3,22.0,8.05,0,1
113,0,3,20.0,9.825,1,0
114,0,3,17.0,14.4583,1,0
115,0,3,21.0,7.925,0,1
116,0,3,70.5,7.75,0,1
117,0,2,29.0,21.0,0,1
118,0,1,24.0,247.5208,0,1
119,0,3,2.0,31.275,1,0
120,0,2,21.0,73.5,0,1
121,0,3,29.69911764705882,8.05,0,1
122,0,2,32.5,30.0708,0,1
123,1,2,32.5,13.0,1,0
124,0,1,54.0,77.2875,0,1
125,1,3,12.0,11.2417,0,1
126,0,3,29.69911764705882,7.75,0,1
127,1,3,24.0,7.1417,0,1
128,1,3,29.69911764705882,22.3583,1,0
129,0,3,45.0,6.975,0,1
130,0,3,33.0,7.8958,0,1
131,0,3,20.0,7.05,0,1
132,0,3,47.0,14.5,1,0
133,1,2,29.0,26.0,1,0
134,0,2,25.0,13.0,0,1
135,0,2,23.0,15.0458,0,1
136,1,1,19.0,26.2833,1,0
137,0,1,37.0,53.1,0,1
138,0,3,16.0,9.2167,0,1
139,0,1,24.0,79.2,0,1
140,0,3,29.69911764705882,15.2458,1,0
141,1,3,22.0,7.75,1,0
142,1,3,24.0,15.85,1,0
143,0,3,19.0,6.75,0,1
144,0,2,18.0,11.5,0,1
145,0,2,19.0,36.75,0,1
146,1,3,27.0,7.7958,0,1
147,0,3,9.0,34.375,1,0
148,0,2,36.5,26.0,0,1
149,0,2,42.0,13.0,0,1
150,0,2,51.0,12.525,0,1
151,1,1,22.0,66.6,1,0
152,0,3,55.5,8.05,0,1
153,0,3,40.5,14.5,0,1
154,0,3,29.69911764705882,7.3125,0,1
155,0,1,51.0,61.3792,0,1
156,1,3,16.0,7.7333,1,0
157,0,3,30.0,8.05,0,1
158,0,3,29.69911764705882,8.6625,0,1
159,0,3,29.69911764705882,69.55,0,1
160,0,3,44.0,16.1,0,1
161,1,2,40.0,15.75,1,0
162,0,3,26.0,7.775,0,1
163,0,3,17.0,8.6625,0,1
164,0,3,1.0,39.6875,0,1
165,1,3,9.0,20.525,0,1
166,1,1,29.69911764705882,55.0,1,0
167,0,3,45.0,27.9,1,0
168,0,1,29.69911764705882,25.925,0,1
169,0,3,28.0,56.4958,0,1
170,0,1,61.0,33.5,0,1
171,0,3,4.0,29.125,0,1
172,1,3,1.0,11.1333,1,0
173,0,3,21.0,7.925,0,1
174,0,1,56.0,30.6958,0,1
175,0,3,18.0,7.8542,0,1
176,0,3,29.69911764705882,25.4667,0,1
177,0,1,50.0,28.7125,1,0
178,0,2,30.0,13.0,0,1
179,0,3,36.0,0.0,0,1
180,0,3,29.69911764705882,69.55,1,0
181,0,2,29.69911764705882,15.05,0,1
182,0,3,9.0,31.3875,0,1
183,1,2,1.0,39.0,0,1
184,1,3,4.0,22.025,1,0
185,0,1,29.69911764705882,50.0,0,1
186,1,3,29.69911764705882,15.5,1,0
187,1,1,45.0,26.55,0,1
188,0,3,40.0,15.5,0,1
189,0,3,36.0,7.8958,0,1
190,1,2,32.0,13.0,1,0
191,0,2,19.0,13.0,0,1
192,1,3,19.0,7.8542,1,0
193,1,2,3.0,26.0,0,1
194,1,1,44.0,27.7208,1,0
195,1,1,58.0,146.5208,1,0
196,0,3,29.69911764705882,7.75,0,1
197,0,3,42.0,8.4042,0,1
198,1,3,29.69911764705882,7.75,1,0
199,0,2,24.0,13.0,1,0
200,0,3,28.0,9.5,0,1
201,0,3,29.69911764705882,69.55,0,1
202,0,3,34.0,6.4958,0,1
203,0,3,45.5,7.225,0,1
204,1,3,18.0,8.05,0,1
205,0,3,2.0,10.4625,1,0
206,0,3,32.0,15.85,0,1
207,1,3,26.0,18.7875,0,1
208,1,3,16.0,7.75,1,0
209,1,1,40.0,31.0,0,1
210,0,3,24.0,7.05,0,1
211,1,2,35.0,21.0,1,0
212,0,3,22.0,7.25,0,1
213,0,2,30.0,13.0,0,1
214,0,3,29.69911764705882,7.75,0,1
215,1,1,31.0,113.275,1,0
216,1,3,27.0,7.925,1,0
217,0,2,42.0,27.0,0,1
218,1,1,32.0,76.2917,1,0
219,0,2,30.0,10.5,0,1
220,1,3,16.0,8.05,0,1
221,0,2,27.0,13.0,0,1
222,0,3,51.0,8.05,0,1
223,0,3,29.69911764705882,7.8958,0,1
224,1,1,38.0,90.0,0,1
225,0,3,22.0,9.35,0,1
226,1,2,19.0,10.5,0,1
227,0,3,20.5,7.25,0,1
228,0,2,18.0,13.0,0,1
229,0,3,29.69911764705882,25.4667,1,0
230,1,1,35.0,83.475,1,0
231,0,3,29.0,7.775,0,1
232,0,2,59.0,13.5,0,1
233,1,3,5.0,31.3875,1,0
234,0,2,24.0,10.5,0,1
235,0,3,29.69911764705882,7.55,1,0
236,0,2,44.0,26.0,0,1
237,1,2,8.0,26.25,1,0
238,0,2,19.0,10.5,0,1
239,0,2,33.0,12.275,0,1
240,0,3,29.69911764705882,14.4542,1,0
241,1,3,29.69911764705882,15.5,1,0
242,0,2,29.0,10.5,0,1
243,0,3,22.0,7.125,0,1
244,0,3,30.0,7.225,0,1
245,0,1,44.0,90.0,0,1
246,0,3,25.0,7.775,1,0
247,1,2,24.0,14.5,1,0
248,1,1,37.0,52.5542,0,1
249,0,2,54.0,26.0,0,1
250,0,3,29.69911764705882,7.25,0,1
251,0,3,29.0,10.4625,1,0
252,0,1,62.0,26.55,0,1
253,0,3,30.0,16.1,0,1
254,0,3,41.0,20.2125,1,0
255,1,3,29.0,15.2458,1,0
256,1,1,29.69911764705882,79.2,1,0
257,1,1,30.0,86.5,1,0
258,1,1,35.0,512.3292,1,0
259,1,2,50.0,26.0,1,0
260,0,3,29.69911764705882,7.75,0,1
261,1,3,3.0,31.3875,0,1
262,0,1,52.0,79.65,0,1
263,0,1,40.0,0.0,0,1
264,0,3,29.69911764705882,7.75,1,0
265,0,2,36.0,10.5,0,1
266,0,3,16.0,39.6875,0,1
267,1,3,25.0,7.775,0,1
268,1,1,58.0,153.4625,1,0
269,1,1,35.0,135.6333,1,0
270,0,1,29.69911764705882,31.0,0,1
271,1,3,25.0,0.0,0,1
272,1,2,41.0,19.5,1,0
273,0,1,37.0,29.7,0,1
274,1,3,29.69911764705882,7.75,1,0
275,1,1,63.0,77.9583,1,0
276,0,3,45.0,7.75,1,0
277,0,2,29.69911764705882,0.0,0,1
278,0,3,7.0,29.125,0,1
279,1,3,35.0,20.25,1,0
280,0,3,65.0,7.75,0,1
281,0,3,28.0,7.8542,0,1
282,0,3,16.0,9.5,0,1
283,1,3,19.0,8.05,0,1
284,0,1,29.69911764705882,26.0,0,1
285,0,3,33.0,8.6625,0,1
286,1,3,30.0,9.5,0,1
287,0,3,22.0,7.8958,0,1
288,1,2,42.0,13.0,0,1
289,1,3,22.0,7.75,1,0
290,1,1,26.0,78.85,1,0
291,1,1,19.0,91.0792,1,0
292,0,2,36.0,12.875,0,1
293,0,3,24.0,8.85,1,0
294,0,3,24.0,7.8958,0,1
295,0,1,29.69911764705882,27.7208,0,1
296,0,3,23.5,7.2292,0,1
297,0,1,2.0,151.55,1,0
298,1,1,29.69911764705882,30.5,0,1
299,1,1,50.0,247.5208,1,0
300,1,3,29.69911764705882,7.75,1,0
301,1,3,29.69911764705882,23.25,0,1
302,0,3,19.0,0.0,0,1
303,1,2,29.69911764705882,12.35,1,0
304,0,3,29.69911764705882,8.05,0,1
305,1,1,0.92,151.55,0,1
306,1,1,29.69911764705882,110.8833,1,0
307,1,1,17.0,108.9,1,0
308,0,2,30.0,24.0,0,1
309,1,1,30.0,56.9292,1,0
310,1,1,24.0,83.1583,1,0
311,1,1,18.0,262.375,1,0
312,0,2,26.0,26.0,1,0
313,0,3,28.0,7.8958,0,1
314,0,2,43.0,26.25,0,1
315,1,3,26.0,7.8542,1,0
316,1,2,24.0,26.0,1,0
317,0,2,54.0,14.0,0,1
318,1,1,31.0,164.8667,1,0
319,1,1,40.0,134.5,1,0
320,0,3,22.0,7.25,0,1
321,0,3,27.0,7.8958,0,1
322,1,2,30.0,12.35,1,0
323,1,2,22.0,29.0,1,0
324,0,3,29.69911764705882,69.55,0,1
325,1,1,36.0,135.6333,1,0
326,0,3,61.0,6.2375,0,1
327,1,2,36.0,13.0,1,0
328,1,3,31.0,20.525,1,0
329,1,1,16.0,57.9792,1,0
330,1,3,29.69911764705882,23.25,1,0
331,0,1,45.5,28.5,0,1
332,0,1,38.0,153.4625,0,1
333,0,3,16.0,18.0,0,1
334,1,1,29.69911764705882,133.65,1,0
335,0,3,29.69911764705882,7.8958,0,1
336,0,1,29.0,66.6,0,1
337,1,1,41.0,134.5,1,0
338,1,3,45.0,8.05,0,1
339,0,1,45.0,35.5,0,1
340,1,2,2.0,26.0,0,1
341,1,1,24.0,263.0,1,0
342,0,2,28.0,13.0,0,1
343,0,2,25.0,13.0,0,1
344,0,2,36.0,13.0,0,1
345,1,2,24.0,13.0,1,0
346,1,2,40.0,13.0,1,0
347,1,3,29.69911764705882,16.1,1,0
348,1,3,3.0,15.9,0,1
349,0,3,42.0,8.6625,0,1
350,0,3,23.0,9.225,0,1
351,0,1,29.69911764705882,35.0,0,1
352,0,3,15.0,7.2292,0,1
353,0,3,25.0,17.8,0,1
354,0,3,29.69911764705882,7.225,0,1
355,0,3,28.0,9.5,0,1
356,1,1,22.0,55.0,1,0
357,0,2,38.0,13.0,1,0
358,1,3,29.69911764705882,7.8792,1,0
359,1,3,29.69911764705882,7.8792,1,0
360,0,3,40.0,27.9,0,1
361,0,2,29.0,27.7208,0,1
362,0,3,45.0,14.4542,1,0
363,0,3,35.0,7.05,0,1
364,0,3,29.69911764705882,15.5,0,1
365,0,3,30.0,7.25,0,1
366,1,1,60.0,75.25,1,0
367,1,3,29.69911764705882,7.2292,1,0
368,1,3,29.69911764705882,7.75,1,0
369,1,1,24.0,69.3,1,0
370,1,1,25.0,55.4417,0,1
371,0,3,18.0,6.4958,0,1
372,0,3,19.0,8.05,0,1
373,0,1,22.0,135.6333,0,1
374,0,3,3.0,21.075,1,0
375,1,1,29.69911764705882,82.1708,1,0
376,1,3,22.0,7.25,1,0
377,0,1,27.0,211.5,0,1
378,0,3,20.0,4.0125,0,1
379,0,3,19.0,7.775,0,1
380,1,1,42.0,227.525,1,0
381,1,3,1.0,15.7417,1,0
382,0,3,32.0,7.925,0,1
383,1,1,35.0,52.0,1,0
384,0,3,29.69911764705882,7.8958,0,1
385,0,2,18.0,73.5,0,1
386,0,3,1.0,46.9,0,1
387,1,2,36.0,13.0,1,0
388,0,3,29.69911764705882,7.7292,0,1
389,1,2,17.0,12.0,1,0
390,1,1,36.0,120.0,0,1
391,1,3,21.0,7.7958,0,1
392,0,3,28.0,7.925,0,1
393,1,1,23.0,113.275,1,0
394,1,3,24.0,16.7,1,0
395,0,3,22.0,7.7958,0,1
396,0,3,31.0,7.8542,1,0
397,0,2,46.0,26.0,0,1
398,0,2,23.0,10.5,0,1
399,1,2,28.0,12.65,1,0
400,1,3,39.0,7.925,0,1
401,0,3,26.0,8.05,0,1
402,0,3,21.0,9.825,1,0
403,0,3,28.0,15.85,0,1
404,0,3,20.0,8.6625,1,0
405,0,2,34.0,21.0,0,1
406,0,3,51.0,7.75,0,1
407,1,2,3.0,18.75,0,1
408,0,3,21.0,7.775,0,1
409,0,3,29.69911764705882,25.4667,1,0
410,0,3,29.69911764705882,7.8958,0,1
411,0,3,29.69911764705882,6.8583,0,1
412,1,1,33.0,90.0,1,0
413,0,2,29.69911764705882,0.0,0,1
414,1,3,44.0,7.925,0,1
415,0,3,29.69911764705882,8.05,1,0
416,1,2,34.0,32.5,1,0
417,1,2,18.0,13.0,1,0
418,0,2,30.0,13.0,0,1
419,0,3,10.0,24.15,1,0
420,0,3,29.69911764705882,7.8958,0,1
421,0,3,21.0,7.7333,0,1
422,0,3,29.0,7.875,0,1
423,0,3,28.0,14.4,1,0
424,0,3,18.0,20.2125,0,1
425,0,3,29.69911764705882,7.25,0,1
426,1,2,28.0,26.0,1,0
427,1,2,19.0,26.0,1,0
428,0,3,29.69911764705882,7.75,0,1
429,1,3,32.0,8.05,0,1
430,1,1,28.0,26.55,0,1
431,1,3,29.69911764705882,16.1,1,0
432,1,2,42.0,26.0,1,0
433,0,3,17.0,7.125,0,1
434,0,1,50.0,55.9,0,1
435,1,1,14.0,120.0,1,0
436,0,3,21.0,34.375,1,0
437,1,2,24.0,18.75,1,0
438,0,1,64.0,263.0,0,1
439,0,2,31.0,10.5,0,1
440,1,2,45.0,26.25,1,0
441,0,3,20.0,9.5,0,1
442,0,3,25.0,7.775,0,1
443,1,2,28.0,13.0,1,0
444,1,3,29.69911764705882,8.1125,0,1
445,1,1,4.0,81.8583,0,1
446,1,2,13.0,19.5,1,0
